,Title,Intervention Area
58,access mobile phone willingness receive mhealth service patient diabetes northwest crosssectional study,Digital Inclusion
59,achieve universal access genderbased legal barrier woman practice reform english,Data Systems & Development
60,adapt job policy program face accelerated technological change english job notesissue,Policy & Regulation or Digital Services
61,adapt job policy program face accelerated technological change english job notesissue,Policy & Regulation or Digital Services
62,adopt mobile money evidence experiment rural africa,Digital Inclusion
63,adopt mobile money evidence experiment rural africa,Digital Finance
64,adoption intensity mobile money smallholder farmer rural,Digital Infrastructure Development
65,adoption payment system era demonetization empirical study,Policy & Regulation or Digital Services
66,adoption ictbased source participation smallholder livestock farmer africa,Digital Information Services
67,adoption mobile application teachinglearning rural girl school empirical study,Upskilling/ Capacity Building
68,adoption mobile application teachinglearning rural girl school empirical study,Upskilling/ Capacity Building
69,advance financial inclusion asean policy regulatory enablers,Digital Finance
70,advance youthcentred ecosystem africa postcovid,Upskilling/ Capacity Building
71,advance youthcentred ecosystem africa postcovid,Upskilling/ Capacity Building
72,africa age challenge opportunity strategy data protection,Policy & Regulation or Digital Services
73,agent network mile,Digital Inclusion
74,agricultural extension service,Digital Inclusion
75,agricultural extension service,Policy & Regulation or Digital Services
76,agricultural extension service,Digital Inclusion
77,agricultural extension service,Digital Inclusion
78,agricultural extension service,Policy & Regulation or Digital Services
79,agricultural extension service,Policy & Regulation or Digital Services
80,aidfinanced mechanism technology,Upskilling/ Capacity Building
81,ecommerce diagnostic leverage trade opportunity english,Digital Finance
82,investigation challenge prevent student educational administration plan ict learn high institution,Data Systems & Development
83,analysis mobile financial service financial inclusion,Digital Inclusion
84,analysis mobile financial service financial inclusion,Digital Finance
85,apply data justice framework analyse datafication marginalise city global,Digital Inclusion
86,evaluation impact ict socioeconomic growth,Policy & Regulation or Digital Services
87,evaluation impact ict socioeconomic growth,Digital Infrastructure Development
88,ict integration high education institute critical literature review,Digital Infrastructure Development
89,ict integration high education institute critical literature review,Digital Inclusion
90,innovative manage cancer patient care coordination monitor health platform nonprofit tertiary cancer care institute,Digital Information Services
91,investigation challenge prevent student educational administration plan ict learn high institution,Digital Infrastructure Development
92,investigation challenge prevent student educational administration plan ict learn high institution,Digital Inclusion
93,analysis electronic payment system study mobile payment system,Digital Finance
94,analysis electronic payment system study mobile payment system,Data Systems & Development
95,analysis integration ict second language learn preschool,Digital Information Services
96,apart connect online tutor student outcome covid pandemic,Upskilling/ Capacity Building
97,application technology health insurance social bottom pyramid customer,Policy & Regulation or Digital Services
98,application technology health insurance social bottom pyramid customer,Digital Inclusion
99,apply storytelling improve indonesian high school student visual memory writing skill,Digital Literacy
100,apply storytelling improve indonesian high school student visual memory writing skill,Upskilling/ Capacity Building
101,increase financial literacy population economic digitalization,Digital Finance
102,increase financial literacy population economic digitalization,Digital Literacy
103,mobile saving silver bullet help woman grow business,Digital Finance
104,mobile saving silver bullet help woman grow business,Digital Finance
105,mobile saving silver bullet help woman grow business,Digital Literacy
106,mobile saving silver bullet help woman grow business,Digital Literacy
107,artificial intelligence healthcare emerge,E-government
108,artificial intelligence public sector maximize opportunity manage risk,E-government
109,artificial intelligence versus covid develop,Data Systems & Development
110,assess effectiveness webbased vaccine management system immunizationrelated data function,Data Systems & Development
111,assessment implementation challenge,E-government
112,assessment select electronic health system support immunization data capture,Data Systems & Development
113,association child mobile parent style hungarian family,Child Protection
114,automate phone call text reminder childhood immunisation primm randomise controlled trial,Data Systems & Development
115,automation ai implication african prospect,Policy & Regulation or Digital Services
116,automation latin america woman high risk lose job,Policy & Regulation or Digital Services
117,automation latin america woman high risk lose job,Policy & Regulation or Digital Services
118,automation latin america woman high risk lose job,Digital Inclusion
119,automation latin america woman high risk lose job,Digital Inclusion
120,avarciber framework assess cybersecurity risk,Cybersecurity
121,awareness demand satisfaction west africa health informatics team wahit,Data Systems & Development
122,ayitic global,Data Systems & Development
123,ayitic global,Data Systems & Development
124,balance counter disinformation respect freedom expression,E-government
125,barrier incentive cybersecurity threat share develop study saudi arabia,Cybersecurity
126,barrier service adoption,Digital Infrastructure Development
127,barrier service adoption,Digital Inclusion
128,basic regulatory enablers financial service,Digital Finance
129,benefit economy policy note english,E-government
130,benefit economy policy note english,Digital Finance
131,benefit economy policy note english,Cybersecurity
132,best practice management online sex offend,Child Protection
133,best practice management online sex offend,Child Protection
134,big data urban transportation bengaluru bus corporation study,Data Systems & Development
135,big data urban transportation bengaluru bus corporation study,Data Systems & Development
136,big data big brother data protection law implication independent medium,Data Privacy
137,big data big brother data protection law implication independent medium,Cybersecurity
138,blend learn peer mentor whatsapp build capacity health worker strengthen immunization service,Upskilling/ Capacity Building
139,blockchain emerge technology enhance post climate,Digital Finance
140,blockchain land administration,Data Systems & Development
141,blockchain emerge opportunity mobile identity aid,E-government
142,blockchain emerge opportunity mobile identity aid,Digital Finance
143,bottomup accountability public service provision evidence field experiment,E-government
144,bottomup connectivity strategy communityled smallscale telecommunication infrastructure network global,Digital Infrastructure Development
145,bottomup connectivity strategy communityled smallscale telecommunication infrastructure network global,Digital Inclusion
146,bridge indonesias divide ruralurban linkage,Digital Infrastructure Development
147,bridge indonesias divide ruralurban linkage,Digital Inclusion
148,technology political engagement,E-government
149,technology improve public service delivery,Policy & Regulation or Digital Services
150,technology improve public service delivery,E-government
151,technology improve public service delivery,Digital Information Services
152,build cyber security awareness develop lesson,Digital Literacy
153,build cyber security awareness develop lesson,Cybersecurity
154,build cyber security awareness develop lesson,Upskilling/ Capacity Building
155,building competency benefit frontier technology,Upskilling/ Capacity Building
156,building faster guide inclusive instant payment system,Digital Inclusion
157,building hook ladder integrate payment lend small merchant,Digital Finance
158,building inclusive payment ecosystem,Digital Finance
159,building inclusive payment ecosystem,Digital Inclusion
160,build inclusive service lesson,E-government
161,build inclusive service lesson,Digital Inclusion
162,economy assessment english,Digital Infrastructure Development
163,economy assessment english,Digital Finance
164,virtual replace inperson coach experimental evidence teacher professional student learn africa,E-government
165,big data evaluation woman feasibility study,Data Systems & Development
166,online social interaction improve finance participation rural household,Digital Finance
167,capture gender class inequity cctvisation delhi,E-government
168,capture gender class inequity cctvisation delhi,Policy & Regulation or Digital Services
169,cash experimental evidence mobile money,Digital Finance
170,catalyst incubator program technical,Digital Finance
171,catalyst incubator program technical,Digital Infrastructure Development
172,chatbots thirdparty monitor civictech pilot english,E-government
173,child sexual exploiatation abuse online survivor perspective,Child Protection
174,child future leader ethiopian adolescent access voice agency,Child Protection
175,child future leader ethiopian adolescent access voice agency,Digital Inclusion
176,childrens environment,Child Protection
177,childrens environment,Child Protection
178,citizen journalism guideline electoral reporting,Digital Literacy
179,citizen participation design public policy icts,E-government
180,citizen payment improve capacity effectiveness,E-government
181,citizen payment improve capacity effectiveness,E-government
182,citizen payment improve capacity effectiveness,Digital Finance
183,citizen payment improve capacity effectiveness,Digital Finance
184,civil documentation internally displace person idps protract displacement,E-government
185,cloud compute opportunity challenge sustainable economic latin america caribbean,Policy & Regulation or Digital Services
186,comment apiors ek suzuki mobile money individual payment remittance investment evidence ashanti region sustainability,Digital Finance
187,monitor socioenvironmental liability advance technology evidence randomize control trial ecuadorian peruvian amazon,Digital Inclusion
188,monitor socioenvironmental liability advance technology evidence randomize control trial ecuadorian peruvian amazon,Digital Inclusion
189,monitor socioenvironmental liability advance technology evidence randomize control trial ecuadorian peruvian amazon,Upskilling/ Capacity Building
190,monitor socioenvironmental liability advance technology evidence randomize control trial ecuadorian peruvian amazon,Upskilling/ Capacity Building
191,communitybased data justice model data collection informal urban settlement,Digital Inclusion
192,compare elearning educational booklet childbirth selfefficacy randomize controlled clinical trial,Digital Inclusion
193,compare elearning educational booklet childbirth selfefficacy randomize controlled clinical trial,Digital Inclusion
194,compete age policy implication russian federation,Policy & Regulation or Digital Services
195,competition network industry evidence rwandan mobile phone network,Digital Infrastructure Development
196,competition network industry evidence rwandan mobile phone network,Policy & Regulation or Digital Services
197,conecta idea connect idea,Digital Literacy
198,consideration design production book early literacy,Digital Literacy
199,consideration design production book early literacy,Upskilling/ Capacity Building
200,consumer attitude intention adopt mobile wallet empirical study,Digital Finance
201,continuous emission monitor system cems,E-government
202,control fraud mobile money service exploratory study,Digital Finance
203,cost analysis integrate management childhood malaria diarrhea pneumonia enhance mobile health technology rural,Digital Infrastructure Development
204,cost analysis pilot health worker program rural,E-government
205,cote divoire evaluate payment system expand social protection coverage,Digital Finance
206,cote divoire evaluate payment system expand social protection coverage english,Digital Finance
207,cote divoire evaluate payment system expand social protection coverage english,Digital Inclusion
208,cote divoire evaluate payment system expand social protection coverage english,Digital Inclusion
209,diagnostic english,Digital Finance
210,covid mobile position data contact trace patient privacy regulation exploratory search global response strategy tool,Digital Infrastructure Development
211,covid mobile position data contact trace patient privacy regulation exploratory search global response strategy tool,Data Systems & Development
212,covid payment,Digital Finance
213,covid ecommerce,Digital Finance
214,covid ecommerce global review,Policy & Regulation or Digital Services
215,covid ecommerce global review,Digital Finance
216,covid implication protect child online,Child Protection
217,covid emergency relief programme cderp,Digital Inclusion
218,covid mobile position data contact trace patient privacy regulation exploratory search global response strategy tool,Policy & Regulation or Digital Services
219,covid mobile position data contact trace patient privacy regulation exploratory search global response strategy tool,Data Privacy
220,covid pandemic high education leverage technology mobile application online learn,Digital Literacy
221,covid pandemic high education leverage technology mobile application online learn,Data Systems & Development
222,covid remote eliminate female genital mutilation child marriage,E-government
223,covid remote eliminate female genital mutilation child marriage,Child Protection
224,labor rural,Digital Information Services
225,disability inclusive system,E-government
226,disability inclusive system,Digital Inclusion
227,mobile health solution behaviour change study service mnutrition initiative portfolio,Data Systems & Development
228,credit hook build footprint credit access,Digital Finance
229,criminal law policy handle assetbased money laundering,Cybersecurity
230,criminal law policy handle assetbased money laundering,Policy & Regulation or Digital Services
231,crop specific mobile apps unescopearson initiative literacy,Upskilling/ Capacity Building
232,crowdfunding middle africa region,Digital Inclusion
233,crowdsourcing accountability ict service delivery,E-government
234,cryptocurrency comparative study top currency,Digital Finance
235,customer perceive risk trust mobile money service empirical study,Digital Finance
236,cyber crime cyber threat cyber security strategy cyber law,Cybersecurity
237,cyber crime cyber threat cyber security strategy cyber law,E-government
238,cyber resilience autonomous mobility system cyber attack resilienceenhancing strategy,Digital Infrastructure Development
239,cyber resilience autonomous mobility system cyber attack resilienceenhancing strategy,Cybersecurity
240,cyber security education essential three,Cybersecurity
241,cyber security education essential three,Digital Inclusion
242,cyber security education essential three rsdigital literacy efl student teacher explore indonesian student teacher initial perception integrate technology teach unit,Digital Literacy
243,cyber threat landscape readiness challenge,Cybersecurity
244,cyber threat landscape readiness challenge,E-government
245,cyberattacks smart power grid,Cybersecurity
246,cyberbullying school adolescent iin urban develop experience cop strategy mediate support psychological wellbeing,Child Protection
247,cybercrime cybersecurity africa,Cybersecurity
248,cybercrime business,Cybersecurity
249,cybercrime business,Digital Infrastructure Development
250,cyberebullying develop uncover profile agressors vicitms manifestation dynamic,Child Protection
251,cyberesecurity policy tool national security advancement,Cybersecurity
252,cyberesecurity policy tool national security advancement,Cybersecurity
253,cybersecurity distribute energy resource,Cybersecurity
254,cybersecurity mobile financial service,Cybersecurity
255,cybersecurity mobile financial service,Digital Finance
256,cyberwomen holistic security training curriculum woman human defender,Digital Literacy
257,data policy decision experimental evidence,Digital Information Services
258,data policy decision experimental evidence,E-government
259,data decision dashboard strengthen routine immunisation,E-government
260,data decision dashboard strengthen routine immunisation,Data Systems & Development
261,data gathering justice urban informal sector view frontline,Digital Inclusion
262,data justice prism politics resource injustice study hyderabad urban frontier,Digital Information Services
263,data justice prism politics resource injustice study hyderabad urban frontier,Digital Inclusion
264,data privacy confidentiality perspectives general public health care provers,Data Privacy
265,data privacy protection role regulation implication data controller develop,Data Privacy
266,data protection privacy internet healthcare thing iohts,Data Privacy
267,data protection challenge internet thing era assessment protection offer pdpa,Data Privacy
268,data global covid,Data Systems & Development
269,datadriven segmentation financial inclusion,Data Systems & Development
270,datadriven segmentation financial inclusion,Digital Inclusion
271,democratic form strategic tech alliance,E-government
272,deposit insurance treatment emoney analysis policy choice,Digital Finance
273,design implementation mobile health electronic data capture platform function fullydisconnected setting pilot study rural,Data Systems & Development
274,design deployment relational geodatabase mobile gi platform realtime covid contact trace,Data Systems & Development
275,design deployment relational geodatabase mobile gi platform realtime covid contact trace,Digital Inclusion
276,design implementation mobile health electronic data capture platform function fullydisconnected setting pilot study rural,Digital Inclusion
277,design data initiative advance financial inclusion,Digital Infrastructure Development
278,design data initiative advance financial inclusion,Digital Inclusion
279,determinant individual intention mobile health insight,Digital Inclusion
280,determinant mobile money adoption evidence urban,Digital Finance
281,determinant mobile money adoption evidence urban,Digital Inclusion
282,determinant scaleup small pilot national electronic immunization registry qualitative evaluation,Data Systems & Development
283,determinant scaleup small pilot national electronic immunization registry qualitative evaluation,Upskilling/ Capacity Building
284,determine pmis optimal investment health management system hmis strengthen landscape analysis,Data Systems & Development
285,determine factor influence level awareness usage open source repository software academic librarian,Digital Information Services
286,mobile game influence behavior determinant hiv service uptake key population usercentered design,Digital Information Services
287,mobile selfsovereign identity facility birth registration,Digital Infrastructure Development
288,novel mobile application hbb prompt human factor usercentred design help baby breathe skill retention,Upskilling/ Capacity Building
289,developmental evaluation pilot sustain uptake final,Policy & Regulation or Digital Services
290,dfs landscape enable condition payas yougo payg solar company leadership public financial management lpfm,Digital Finance
291,dfs landscape enable condition payas yougo payg solar company leadership public financial management lpfm,Digital Finance
292,connectivity upstream chain dynamic perspective smartphone adoption horticultural smallholder,Digital Infrastructure Development
293,governance develop beneficiary experience perception system reform rajasthan paper,E-government
294,literacy efl student teacher explore indonesian student teacher initial perception integrate technology teach unit,Digital Literacy
295,solution covid response assessment tool rapid scaleup management contact trace,Data Systems & Development
296,transformation university education trajectory condition technological economic order,E-government
297,activism indignation net pressure,Upskilling/ Capacity Building
298,economic determinant healthcare crisisaffected population access mobile phone socioeconomic barrier,Digital Inclusion
299,social medium social behaviour change communication,Digital Inclusion
300,antianxiety treatment cognitive performance experimental study,Upskilling/ Capacity Building
301,banking strategy financial inclusion commercial bank kajiado county commercial bank kajiado county,Digital Finance
302,banking strategy financial inclusion commercial bank kajiado county commercial bank kajiado county,Digital Inclusion
303,bank lesson,Digital Finance
304,cash transfer strand migrant lesson bihar covid assistance program,Data Systems & Development
305,cash transfer covid opportunity consideration woman inclusion empowerment,Digital Inclusion
306,cash transfer covid opportunity consideration woman inclusion empowerment,Digital Inclusion
307,cash transfer covid opportunity consideration woman inclusion empowerment,Digital Inclusion
308,collateral,Digital Finance
309,collateral,Digital Finance
310,connectivity upstream chain dynamic perspective smartphone adoption horticultural smallholder,Digital Inclusion
311,connectivity infrastructure future,Digital Infrastructure Development
312,design technology outreach rural,Digital Finance
313,diabetes care system observation pilot evaluation study,Digital Inclusion
314,diabetes care system observation pilot evaluation study,Digital Information Services
315,divide sociopsychological implication rural dweller,Digital Infrastructure Development
316,educational support administer whatsapp messenger improve healthrelated knowledge health behavior adolescent mother republic multimethod study,Digital Inclusion
317,educational support administer whatsapp messenger improve healthrelated knowledge health behavior adolescent mother republic multimethod study,Digital Information Services
318,educational support administer whatsapp messenger improve healthrelated knowledge health behavior adolescent mother republic multimethod study,Digital Information Services
319,entrepreneurship embrace precarity personal response political economic change,Digital Infrastructure Development
320,ethnography social medium srikandi sungai activist water river conservation,Digital Information Services
321,finance inclusion covid,Digital Finance
322,finance inclusion covid,Digital Inclusion
323,finance mechanism extend boundary financial inclusion subsaharan africa general method moment,Digital Finance
324,finance mechanism extend boundary financial inclusion subsaharan africa general method moment,Digital Inclusion
325,finance bright spot support growth usaidethiopia,Digital Finance
326,finance bright spot support growth usaidethiopia,Digital Finance
327,finance real economy education,Digital Finance
328,finance real economy education,Digital Finance
329,finance real economy education,Digital Inclusion
330,finance real economy introduction,Digital Finance
331,finance revolution africa retail bank adaption change marketplace,Digital Finance
332,financial inclusion fiscal solvency ugandas local government review regulation mediation,Policy & Regulation or Digital Services
333,financial inclusion fiscal solvency ugandas local government review regulation mediation,Digital Finance
334,financial inclusion sustainability jordanian,Digital Finance
335,financial inclusion sustainability jordanian,Digital Inclusion
336,financial inclusion evidence,Digital Finance
337,financial inclusion evidence,Digital Inclusion
338,financial service health global evidence review,Digital Finance
339,financial service rural,Digital Inclusion
340,financial service rural,Digital Finance
341,food delivery apps revolutionize food product marketing,Digital Finance
342,food environment coronavirus disease covid pandemic analysis food advertising online food delivery platform,Digital Information Services
343,gap university challenge quality education diagnostic study,Digital Literacy
344,gap university challenge quality education diagnostic study,Digital Inclusion
345,governance krishna glimpse future,E-government
346,governance krishna glimpse future,E-government
347,governance krishna glimpse future,Digital Inclusion
348,harassment woman leader review evidence,Data Privacy
349,harassment woman leader review evidence,Data Privacy
350,harassment woman leader review evidence,Digital Inclusion
351,harassment woman leader review evidence,Digital Inclusion
352,health inequality access health service mixed method study,Digital Inclusion
353,health realtime monitor national immunisation campaign largescale effectiveness evaluation,Data Systems & Development
354,health social behavior change technology reach people,Policy & Regulation or Digital Services
355,heritage academic,Digital Information Services
356,identity trade trainfortrade study southeast asia,Policy & Regulation or Digital Services
357,inclusion internet adult crosssectional study,Digital Inclusion
358,inclusion indigenous people technique computer smartphones patax aldeia velha bahia,Digital Inclusion
359,indiacommunication policy issue challenge,Policy & Regulation or Digital Services
360,provision farmer behavior lesson experiment africa,Digital Information Services
361,interface indonesias public service broadcast initiative regulatory challenge,Policy & Regulation or Digital Services
362,intervention people live noncommunicable disease systematic review intervention study recommendation future,Digital Information Services
363,labour platform global fill institutional void,Digital Inclusion
364,learn asia dld,Digital Information Services
365,learn innovation host syrian refugee,Digital Inclusion
366,learn student mental health role psychological capital amidst covid pandemic,Digital Infrastructure Development
367,learn student mental health role psychological capital amidst covid pandemic,Digital Infrastructure Development
368,literacy high education covid lockdown,Digital Literacy
369,literacy online child abuse primary school child langata subcounty nairobi city county,Digital Literacy
370,literacy online child abuse primary school child langata subcounty nairobi city county,Child Protection
371,literacy online child abuse primary school child langata subcounty nairobi city county,Child Protection
372,literacy online child abuse primary school child langata subcounty nairobi city county,Digital Literacy
373,literacy spread misinformation,Digital Literacy
374,literacy spread misinformation,Digital Information Services
375,literacy spread misinformation,Digital Literacy
376,literacy teenager,Digital Literacy
377,literacy teenager kulonprogo district yogyakarta,Digital Literacy
378,local service develop evidence,Digital Information Services
379,medium landscape political misinformation participation facebook whatsapp,Digital Information Services
380,medium landscape political misinformation participation facebook whatsapp,Digital Literacy
381,medium subsequent selfharm followup chinese adolescent,Child Protection
382,payment dream reality vietnamese rural remote bank social protection payment assessment english,Digital Finance
383,revitalization agrifood sector mashreq,E-government
384,revitalization agrifood sector mashreq,E-government
385,revitalization agrifood sector mashreq,Digital Finance
386,revitalization agrifood sector mashreq,Digital Finance
387,revolution healthcare potential tool achieve health equity,Digital Information Services
388,closing civic space lesson ten african,E-government
389,skill framework program english,Digital Literacy
390,technological solution factor effective high education republic,Digital Inclusion
391,technology product upgrade global chain,Digital Infrastructure Development
392,technology capture global chain,Digital Finance
393,technology transparency public investment tool empower citizen government,Data Systems & Development
394,technology agriculture rural,Digital Literacy
395,technology agriculture rural,Digital Infrastructure Development
396,technology early childhood attitude practice parent teacher,Child Protection
397,technology programme design delivery fragile conflictaffected,Data Systems & Development
398,technology agricultural background paper agricultural commodity soco,E-government
399,technology capacity,Digital Finance
400,technology social assistance transfer covid relief lesson select,E-government
401,technology social assistance transfer covid relief lesson select,Digital Inclusion
402,technology citizen empowerment sdgs,E-government
403,technology citizen empowerment sdgs,Digital Inclusion
404,tool usaid agricultural programming toolkit,Digital Infrastructure Development
405,tool usaid agricultural programming toolkit,Digital Infrastructure Development
406,tourism marketing collaborative strategy banggai brother sulawesi,Digital Information Services
407,trade mena regulatory readiness assessment,Digital Finance
408,train nonspecialist health worker deliver psychological treatment depression primary care finding randomize pilot study,Upskilling/ Capacity Building
409,transformation university education trajectory condition technological economic order,Upskilling/ Capacity Building
410,vulnerability sustainable goal develop,Cybersecurity
411,vulnerability sustainable goal develop,Upskilling/ Capacity Building
412,digitalization migration role social medium migrant network migration decision exploratory study,Digital Information Services
413,digitalize port call,Data Systems & Development
414,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy english,Digital Infrastructure Development
415,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy,Policy & Regulation or Digital Services
416,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy,Digital Finance
417,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy,Digital Finance
418,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy,Digital Inclusion
419,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy,Digital Inclusion
420,digitization local revenue collection evaluation accra metropolitan assembly ama,E-government
421,digitization health sector challenge opportunity online health communication study marham social mobile medium,E-government
422,digitization health sector challenge opportunity online health communication study marham social mobile medium,Digital Information Services
423,digitization health sector challenge opportunity online health communication study marham social mobile medium,Digital Inclusion
424,digitize agricultural payment ugandas coffee chain,Digital Finance
425,digitize lowincome cluster urban slum,Digital Finance
426,digitize payment government service,Digital Finance
427,digitize payment government service,E-government
428,digitize payment government service,Digital Finance
429,digitize payment dairy supply chain,Digital Finance
430,digitize payment dairy supply chain,Digital Finance
431,discover contextual factor library education,Digital Information Services
432,discover contextual factor library education,Digital Literacy
433,disrupt education experimental evidence technologyaided instruction,E-government
434,technology improve teenager sexual education evidence randomize evaluation,Child Protection
435,technology improve teenager sexual education evidence randomize evaluation,Child Protection
436,mobile money promote financial inclusion,Digital Finance
437,mobile money promote financial inclusion,Digital Inclusion
438,internet reduce gender gap english,Digital Inclusion
439,internet reduce gender gap english,Digital Inclusion
440,,Policy & Regulation or Digital Services
441,dont crisis waste reshape economy noregret policy english,Digital Information Services
442,dont crisis waste reshape economy noregret policy english,Digital Finance
443,dont crisis waste reshape economy noregret policy english,Digital Information Services
444,dont crisis waste reshape economy noregret policy english,Digital Finance
445,doseresponse relationship webbased tailor intervention promote human papillomavirus vaccination evaluation randomize control trial,E-government
446,eagriculture practice green social behavior change communication model extension,Digital Finance
447,eagriculture practice green social behavior change communication model extension,Upskilling/ Capacity Building
448,eagriculture promise practice grameen foundation farmerlink drive coconut smallholder productivity resilience technology,Digital Finance
449,eagriculture promise practice grameen foundation farmerlink drive coconut smallholder productivity resilience technology,Upskilling/ Capacity Building
450,ecommerce mobile money poverty reduction lesson african,Data Systems & Development
451,ecommerce mobile money poverty reduction lesson african,Digital Infrastructure Development
452,efinance status prospect financial inclusion,Digital Finance
453,efinance status prospect financial inclusion,Digital Inclusion
454,eamena train satellite remote sense technology heritage management workshop,Digital Information Services
455,eamena train satellite remote sense technology heritage management workshop,Upskilling/ Capacity Building
456,edtech learn emergency displace setting rigorous review narrative synthesis,Digital Inclusion
457,edtech ready takeoff english,E-government
458,education technology effective teacher,E-government
459,system customer satisfaction influence trust evidence pakistani banking industry,Digital Information Services
460,system customer satisfaction influence trust evidence pakistani banking industry,Policy & Regulation or Digital Services
461,system customer satisfaction influence trust evidence pakistani banking industry,Digital Finance
462,mobile phone text message reminder improve completeness timeliness routine childhood vaccination northwest study protocol randomise control trial,Digital Information Services
463,payment system smes performance develop,Digital Finance
464,effective adoption tablet psychodiagnostic assessment rural evidence usability validity mobile technology differentiate symptom profile amisom soldier deployment,Data Systems & Development
465,effective ict teacher education inclusive environment classroom,Digital Inclusion
466,effectiveness parental acceptability social networking intervention promote seasonal influenza vaccination young child randomize control trial,E-government
467,effectiveness platform reduce vaw,Child Protection
468,efficacy health tool contraceptive ideation clusterrandomized control trial,Data Systems & Development
469,egovernment benchmark stock usercentric design delivery public service europe,E-government
470,electoral administration fledgling democracy experimental evidence,E-government
471,electronic commerce business expansion model chain network economy,Digital Finance
472,electronic commerce validity contract legislation perspective,E-government
473,electronic commerce validity contract legislation perspective,Policy & Regulation or Digital Services
474,elevate collective consumer voice financial regulation,Digital Finance
