,Title,classes
157,building hook ladder integrate payment lend small merchant,4
158,building inclusive payment ecosystem,4
160,build inclusive service lesson,10
162,economy assessment english,7
164,virtual replace inperson coach experimental evidence teacher professional student learn africa,10
165,big data evaluation woman feasibility study,3
166,online social interaction improve finance participation rural household,4
167,capture gender class inequity cctvisation delhi,10
169,cash experimental evidence mobile money,4
170,catalyst incubator program technical,4
172,chatbots thirdparty monitor civictech pilot english,10
173,child sexual exploiatation abuse online survivor perspective,0
174,child future leader ethiopian adolescent access voice agency,0
176,childrens environment,0
178,citizen journalism guideline electoral reporting,8
179,citizen participation design public policy icts,10
180,citizen payment improve capacity effectiveness,10
184,civil documentation internally displace person idps protract displacement,10
185,cloud compute opportunity challenge sustainable economic latin america caribbean,9
186,comment apiors ek suzuki mobile money individual payment remittance investment evidence ashanti region sustainability,4
187,monitor socioenvironmental liability advance technology evidence randomize control trial ecuadorian peruvian amazon,5
191,communitybased data justice model data collection informal urban settlement,5
192,compare elearning educational booklet childbirth selfefficacy randomize controlled clinical trial,5
194,compete age policy implication russian federation,9
195,competition network industry evidence rwandan mobile phone network,7
197,conecta idea connect idea,8
198,consideration design production book early literacy,8
200,consumer attitude intention adopt mobile wallet empirical study,4
201,continuous emission monitor system cems,10
202,control fraud mobile money service exploratory study,4
203,cost analysis integrate management childhood malaria diarrhea pneumonia enhance mobile health technology rural,7
204,cost analysis pilot health worker program rural,10
205,cote divoire evaluate payment system expand social protection coverage,4
206,cote divoire evaluate payment system expand social protection coverage english,4
209,diagnostic english,4
210,covid mobile position data contact trace patient privacy regulation exploratory search global response strategy tool,7
212,covid payment,4
213,covid ecommerce,4
214,covid ecommerce global review,9
216,covid implication protect child online,0
217,covid emergency relief programme cderp,5
220,covid pandemic high education leverage technology mobile application online learn,8
222,covid remote eliminate female genital mutilation child marriage,10
224,labor rural,6
225,disability inclusive system,10
227,mobile health solution behaviour change study service mnutrition initiative portfolio,3
228,credit hook build footprint credit access,4
229,criminal law policy handle assetbased money laundering,1
231,crop specific mobile apps unescopearson initiative literacy,11
232,crowdfunding middle africa region,5
233,crowdsourcing accountability ict service delivery,10
234,cryptocurrency comparative study top currency,4
235,customer perceive risk trust mobile money service empirical study,4
236,cyber crime cyber threat cyber security strategy cyber law,1
238,cyber resilience autonomous mobility system cyber attack resilienceenhancing strategy,7
240,cyber security education essential three,1
242,cyber security education essential three rsdigital literacy efl student teacher explore indonesian student teacher initial perception integrate technology teach unit,8
243,cyber threat landscape readiness challenge,1
245,cyberattacks smart power grid,1
246,cyberbullying school adolescent iin urban develop experience cop strategy mediate support psychological wellbeing,0
247,cybercrime cybersecurity africa,1
248,cybercrime business,1
250,cyberebullying develop uncover profile agressors vicitms manifestation dynamic,0
251,cyberesecurity policy tool national security advancement,1
253,cybersecurity distribute energy resource,1
254,cybersecurity mobile financial service,1
256,cyberwomen holistic security training curriculum woman human defender,8
257,data policy decision experimental evidence,6
259,data decision dashboard strengthen routine immunisation,10
261,data gathering justice urban informal sector view frontline,5
262,data justice prism politics resource injustice study hyderabad urban frontier,6
264,data privacy confidentiality perspectives general public health care provers,2
265,data privacy protection role regulation implication data controller develop,2
266,data protection privacy internet healthcare thing iohts,2
267,data protection challenge internet thing era assessment protection offer pdpa,2
268,data global covid,3
269,datadriven segmentation financial inclusion,3
271,democratic form strategic tech alliance,10
272,deposit insurance treatment emoney analysis policy choice,4
273,design implementation mobile health electronic data capture platform function fullydisconnected setting pilot study rural,3
274,design deployment relational geodatabase mobile gi platform realtime covid contact trace,3
277,design data initiative advance financial inclusion,7
279,determinant individual intention mobile health insight,5
280,determinant mobile money adoption evidence urban,4
282,determinant scaleup small pilot national electronic immunization registry qualitative evaluation,3
284,determine pmis optimal investment health management system hmis strengthen landscape analysis,3
285,determine factor influence level awareness usage open source repository software academic librarian,6
286,mobile game influence behavior determinant hiv service uptake key population usercentered design,6
287,mobile selfsovereign identity facility birth registration,7
288,novel mobile application hbb prompt human factor usercentred design help baby breathe skill retention,11
289,developmental evaluation pilot sustain uptake final,9
290,dfs landscape enable condition payas yougo payg solar company leadership public financial management lpfm,4
292,connectivity upstream chain dynamic perspective smartphone adoption horticultural smallholder,7
293,governance develop beneficiary experience perception system reform rajasthan paper,10
294,literacy efl student teacher explore indonesian student teacher initial perception integrate technology teach unit,8
295,solution covid response assessment tool rapid scaleup management contact trace,3
296,transformation university education trajectory condition technological economic order,10
297,activism indignation net pressure,11
298,economic determinant healthcare crisisaffected population access mobile phone socioeconomic barrier,5
299,social medium social behaviour change communication,5
300,antianxiety treatment cognitive performance experimental study,11
301,banking strategy financial inclusion commercial bank kajiado county commercial bank kajiado county,4
303,bank lesson,4
304,cash transfer strand migrant lesson bihar covid assistance program,3
305,cash transfer covid opportunity consideration woman inclusion empowerment,5
308,collateral,4
311,connectivity infrastructure future,7
312,design technology outreach rural,4
313,diabetes care system observation pilot evaluation study,5
315,divide sociopsychological implication rural dweller,7
316,educational support administer whatsapp messenger improve healthrelated knowledge health behavior adolescent mother republic multimethod study,5
319,entrepreneurship embrace precarity personal response political economic change,7
320,ethnography social medium srikandi sungai activist water river conservation,6
321,finance inclusion covid,4
323,finance mechanism extend boundary financial inclusion subsaharan africa general method moment,4
325,finance bright spot support growth usaidethiopia,4
327,finance real economy education,4
330,finance real economy introduction,4
331,finance revolution africa retail bank adaption change marketplace,4
332,financial inclusion fiscal solvency ugandas local government review regulation mediation,9
334,financial inclusion sustainability jordanian,4
336,financial inclusion evidence,4
338,financial service health global evidence review,4
339,financial service rural,5
341,food delivery apps revolutionize food product marketing,4
342,food environment coronavirus disease covid pandemic analysis food advertising online food delivery platform,6
343,gap university challenge quality education diagnostic study,8
345,governance krishna glimpse future,10
348,harassment woman leader review evidence,2
352,health inequality access health service mixed method study,5
353,health realtime monitor national immunisation campaign largescale effectiveness evaluation,3
354,health social behavior change technology reach people,9
355,heritage academic,6
356,identity trade trainfortrade study southeast asia,9
357,inclusion internet adult crosssectional study,5
358,inclusion indigenous people technique computer smartphones patax aldeia velha bahia,5
359,indiacommunication policy issue challenge,9
360,provision farmer behavior lesson experiment africa,6
361,interface indonesias public service broadcast initiative regulatory challenge,9
362,intervention people live noncommunicable disease systematic review intervention study recommendation future,6
363,labour platform global fill institutional void,5
364,learn asia dld,6
365,learn innovation host syrian refugee,5
366,learn student mental health role psychological capital amidst covid pandemic,7
368,literacy high education covid lockdown,8
369,literacy online child abuse primary school child langata subcounty nairobi city county,8
373,literacy spread misinformation,8
376,literacy teenager,8
377,literacy teenager kulonprogo district yogyakarta,8
378,local service develop evidence,6
379,medium landscape political misinformation participation facebook whatsapp,6
381,medium subsequent selfharm followup chinese adolescent,0
382,payment dream reality vietnamese rural remote bank social protection payment assessment english,4
383,revitalization agrifood sector mashreq,10
387,revolution healthcare potential tool achieve health equity,6
388,closing civic space lesson ten african,10
389,skill framework program english,8
390,technological solution factor effective high education republic,5
391,technology product upgrade global chain,7
392,technology capture global chain,4
393,technology transparency public investment tool empower citizen government,3
394,technology agriculture rural,8
396,technology early childhood attitude practice parent teacher,0
397,technology programme design delivery fragile conflictaffected,3
398,technology agricultural background paper agricultural commodity soco,10
399,technology capacity,4
400,technology social assistance transfer covid relief lesson select,10
402,technology citizen empowerment sdgs,10
404,tool usaid agricultural programming toolkit,7
406,tourism marketing collaborative strategy banggai brother sulawesi,6
407,trade mena regulatory readiness assessment,4
408,train nonspecialist health worker deliver psychological treatment depression primary care finding randomize pilot study,11
410,vulnerability sustainable goal develop,1
412,digitalization migration role social medium migrant network migration decision exploratory study,6
413,digitalize port call,3
414,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy english,7
415,digitization agribusiness payment africa build ramp farmer financial inclusion participation economy,9
420,digitization local revenue collection evaluation accra metropolitan assembly ama,10
421,digitization health sector challenge opportunity online health communication study marham social mobile medium,10
424,digitize agricultural payment ugandas coffee chain,4
425,digitize lowincome cluster urban slum,4
426,digitize payment government service,4
429,digitize payment dairy supply chain,4
431,discover contextual factor library education,6
433,disrupt education experimental evidence technologyaided instruction,10
434,technology improve teenager sexual education evidence randomize evaluation,0
436,mobile money promote financial inclusion,4
438,internet reduce gender gap english,5
440,,9
441,dont crisis waste reshape economy noregret policy english,6
445,doseresponse relationship webbased tailor intervention promote human papillomavirus vaccination evaluation randomize control trial,10
446,eagriculture practice green social behavior change communication model extension,4
448,eagriculture promise practice grameen foundation farmerlink drive coconut smallholder productivity resilience technology,4
450,ecommerce mobile money poverty reduction lesson african,3
452,efinance status prospect financial inclusion,4
454,eamena train satellite remote sense technology heritage management workshop,6
456,edtech learn emergency displace setting rigorous review narrative synthesis,5
457,edtech ready takeoff english,10
458,education technology effective teacher,10
459,system customer satisfaction influence trust evidence pakistani banking industry,6
462,mobile phone text message reminder improve completeness timeliness routine childhood vaccination northwest study protocol randomise control trial,6
463,payment system smes performance develop,4
464,effective adoption tablet psychodiagnostic assessment rural evidence usability validity mobile technology differentiate symptom profile amisom soldier deployment,3
465,effective ict teacher education inclusive environment classroom,5
466,effectiveness parental acceptability social networking intervention promote seasonal influenza vaccination young child randomize control trial,10
467,effectiveness platform reduce vaw,0
468,efficacy health tool contraceptive ideation clusterrandomized control trial,3
469,egovernment benchmark stock usercentric design delivery public service europe,10
470,electoral administration fledgling democracy experimental evidence,10
471,electronic commerce business expansion model chain network economy,4
472,electronic commerce validity contract legislation perspective,10
474,elevate collective consumer voice financial regulation,4
476,embed finance ecommerce platform covid pandemic english,4
478,embed knowledge transfer citizen engagement africa develop literacy,8
480,empower palestinian girl learn innovation stem field,8
481,enable crossborder data flow asean,9
482,encourage formal financial service garment worker rollout electronic payment system bangaldesh,4
483,endofproject performance evaluation usaidghanas communicate health ch,3
484,engage office embed finance,4
486,engage youth agriculture communication technology,7
488,enhance knowledge behavior fieldworker promote family plan maternal newborn child health health training package pilot study,6
490,ensure safety child article business human review,0
491,equal access society,5
493,ereadiness public university library mobile phone provision library service,6
496,establish educational support adolescent mother republic usercentered design,6
498,estimate credit experiment airtel,4
502,ethic governance epidemiology,10
503,europe asia economic update spring data digitalization governance,10
504,evaluate samas train job program nairobi,11
506,evaluate save life birth evaluation round,0
507,evaluate impact ict teach learn study palestinian student teacher perception,9
509,evaluate prudency cybersecurity investment guideline energy regulator,1
510,evaluation ict economic growth africa,7
512,evaluation key security issue associate mobile money system,1
514,evaluation integrate national monitoring assessment system forest ecosystems simef,3
515,evidence base collaboration learn adaptation ebcla final,4
516,evidence google trend widen secondlevel divide covid,5
517,expand develop small business online platform trade,4
518,expand capacity otolaryngologist mobile technology,6
520,experience personal data protection thte internet possibility recognition enforcement,2
521,exploration youth competency dataset educational,8
522,explore blockchain applicationsto agricultural finance,4
523,explore blockchain application agricultural finance,4
524,explore fairness machine learn international,3
527,explore sme cybersecurity practice develop,1
528,explore mobile money service tea saccos challenge opportunity,3
530,external evaluation mobile phone technologybased nutrition agriculture advisory service africa mobile phone nutrition health business model endline,8
532,facilitate trade logistics ecommerce building block challenge forward,9
533,facilitator barrier chronic disease selfmanagement mobile health intervention people live diabetes hypertension qualitative study,6
534,factor ict service,6
537,factor communication technology icts marketing grain woman benue,5
539,factor impact mobile banking empirical extend utaut perceive trust,4
540,factor influence adoption mobile payment system,4
542,factor influence library distance education,10
545,factor influence participation unhygienic cyber practice pilot study,2
547,fair play ensure competition financial service,4
548,farmer perception quality mobilebased extension service comparison public private provision,10
550,farmer mobile phone access agricultural,6
551,farmer mobile phonebased farm advisory service punjab,6
555,feed future agriculture assessment followon updated review agtech landscape feed future,4
556,feed future naatal mbay capitalization note datadriven agriculture,8
558,female smallholder financial inclusion agenda,5
560,fidelity implementation prospera evaluation multisite mhealth intervention aim improve maternal health outcome,6
561,financial inclusion poverty alleviation mobile loan rate financial performance smes urban informal settlement,4
563,financial inclusion payment policy consideration saving,4
565,financial inclusion europe asia region trend agenda english,4
567,financial inclusion findex survey english,4
569,financial inclusion disrupt liquidity redundancy mobile money agent,4
570,financial insurance pension digitalization finance,4
572,financial sector transformation cryptocurrencies technology regulation,4
573,financial sector cybersecurity regulation supervision,1
575,financial sector cybersecurity regulation supervision english,1
577,fintech household resilience shock evidence loan,4
578,fintech partnership playbook,4
579,fintechs financial inclusion,4
583,aml technology help address derisking dilemma,9
585,challenge field alternative radical citizen medium,5
586,fourth economic update enhance financial inclusion africa region english,4
590,frame policy economy,4
591,free financial education tablet experimental evidence,8
595,agent three,4
596,integration innovation implement evolve api strategy,9
597,national identity legitimacy mobilize digitally network public eastern,5
598,paper map map enhance routine immunisation microplanning northern,7
600,social banking financial inclusion journey banking,4
602,web web heritage platform unescos heritage property,6
604,fuel subsidy reform green tax technology improve capacity effectiveness,5
605,fuel trade mercosur regulatory roadmap,9
606,future food harness technology improve food system outcome,4
608,identity onboarding,4
609,gap global monitoring evaluation adolescent youth reproductive health,3
610,gender icts mainstreaming gender communication technology icts agriculture rural,5
612,gender divide urban slum delhi crosssectional study,5
614,gender difference ict small business owner,4
615,gender divide interregional analysis uttar pradesh,5
617,gender divide mayaspeaking southern,10
619,gender dynamic health overcome blind spots bias seize opportunity responsibility transformative health system,5
621,gender equality big data gender data visible,3
622,gender medium icts education training,9
624,georgias innovation strategy recommendation,9
626,economy diagnostic stocktaking english,9
628,agenda impact zipline drone technology emergency health delivery,10
630,gig platform study online support tool forums amt crowdworkers,4
631,gig platform study sweepsouth platformbased domestic,6
632,global cybersecurity capacity program lesson learn recommendation strengthen program english,1
633,global health science practice supp health health system future,3
634,global preparedness covid leverage power health,3
635,full distance strategic support library distance education university education winneba,10
637,governance innovation connect protect free expression diversity civic engagement global ecosystem,10
639,govern big tech pursuit billion user,9
640,govern data trend challenge opportunity,10
641,growth prospect challenge policy measure evolution mobile broadband,9
643,hack chinas cybersecurity law,1
644,harness emerge technology datanet operation,10
646,harness transparency initiative improve indias environmental clearance mineral mining sector,10
648,health people national health worker program,3
649,health system strengthen standard best practice data source,3
650,hello mama implementation road map,3
651,heterogeneous impact internet availability female labour outcome emerge economy,5
653,highsaving youth smallholder household untapped,3
655,covid expose cyber risk health sector paradigm shift building cybersecurity resilience,1
656,ict shape refugee governance landscape transitional,5
657,big data transparency command protect people coronavirus,10
658,visible student politics performativity public space,6
660,humanitarian cash transfer financial inclusion,4
662,ichealth largescale health data evidencebased cardiovascular medication hospitalization epidemiological characteristic heart failure patient,3
663,ict driver economic growth survey literature direction future,7
665,ict empowers rural woman evidence poor county,5
666,idb paper series gender labor gap economy,11
667,identification revolution harness,10
668,identify address challenge face student visual impairment access education learn relation ict tertiary education,5
669,identify verify customer kyc requirement constraint financial inclusion,4
671,identity crime age malaysian mauritanian legal framework,1
672,immunization data evidence action idea realist review improve data immunization,3
673,impact alternate wet dry farm income water saving,6
679,impact creative capacity build local innovator communities income welfare attitude,11
683,impact cybercrime trust ecommerce technology application theory plan behavior,4
685,impact cybercrime ebusiness trust,1
686,impact demonetization diffusion mobile payment service antecedent behavioral intention adoption extend utaut model,4
687,impact finance financial inclusion stability,4
688,impact marketing capability performance small medium enterprise agroprocessors harare,4
690,impact technology train english science technology teacher,11
691,impact ictsinagriculture rural resilience develop,3
693,impact online computer assist learning education evidence randomize control trial,11
694,impact technological pedagogical knowledge teacher proficiency classroom high education institution,11
695,impact voice reminder reinforce harvest aggregation service training farmer,3
698,impact communityled video education increase vaccination coverage uttar pradesh,5
700,impact ircs child engagement strategy increase immunisation northern,8
704,improve marketing strategy jordanian air aviation sector regional training center,11
705,improve emergency response upgrade technology system respond covid,3
706,improve global health supply chain traceability,3
707,improve lastmile service delivery phonebased monitoring,4
709,improve learn outcome lesson rigorous evidence,10
710,improve local tax collection technology,10
712,improve mental health care develop technology mini narrative review chilean,0
713,improve district health plan,10
714,improve track traceability food aid feasibility study,6
716,inclusion matter africa,10
720,inclusive banking emerge study,4
722,increase citizen voice government responsiveness success decides,10
724,increase banking adoption usage trend impact financial inclusion,4
726,increase full child immunization rate government innovative computerize immunization list rural,3
727,increase sme access finance mena region,4
730,increase student learn phonebased program covid,8
732,increase woman access finance technology,4
734,indias personal datasharing,7
736,indigenously developed handheld androidbased geographic system gistagged tablet tabs malaria elimination programme mangaluru city karnataka,6
737,agrovalue chain assessment background paper issue option promote agriculture english,4
738,indonesian defense industry strategy responses cyber threat support defense,1
739,inequality communicative struggle global communication social progress,5
740,inequality gender inclusion minimum ict policy threshold promote female employment subsaharan africa,9
742,inflection point impact threats sustainability study latin american medium entrepreneur,5
743,influence high education choice customize application platform republic,6
745,communication technology smallscale fishery ictssf handbook fishery stakeholder,6
746,communication technology agricultural advice smallholder farmer experimental evidence,11
747,communication technology communityled total sanitation clts landscape assessment,3
748,communication technology icts crisis communication principle covid response,10
749,communication technology diffusion financial inclusion interstate analysis,4
751,forgotten emerge threat medium freedom age,9
752,technology government decentralization experimental evidence,10
754,innovate government platform lowincome dynamic capability woredas,10
756,innovation cooperation emerge trajectory implication inclusive sustainable st century,5
757,innovation education improve learn outcome ict technology,5
758,innovative business model expand fiberoptic network close access gap main english,7
759,inovative business model small farmer inclusion,7
760,instrumentalising adolescent engagement icts low middleincome,0
762,integrate mobile webbased application enhance delivery hivaids healthcare,3
763,integrate cyber capacity agenda,1
764,internet village motoman rural bridging divide,5
765,interoperability finance emerge guidance funders,5
766,investigate risk opportunies child rapid review evidence childrens internet outcome,0
767,investigate nexus mobile apps adoption privacy concern user empirical analysis,2
768,investigate usability mobile health application,6
770,invest communication technology reach gender equality empower rural woman,5
772,economic monitor navigate perfect storm redux,4
773,economic monitor navigate perfect storm redux english,7
775,data privacy fundamental analysis recommendation policy legal perspective,2
777,data privacy business,9
778,isolate tech edtech experimental evidence computer assist learning,10
779,iwmi gender inclusion strategy,7
782,jio spark disruption infrastructural imaginary platform ecosystem,7
783,job amenability evidence skill survey,7
784,medium assessment white paper government medium outreach age covid,8
785,jordanian syrian refugee remittances financial service,4
787,simple field experiment share social network,4
789,child engage distance learn key finding recovr survey,10
790,health financing system assessment pick best path,4
791,landuse planning technology environmental conservation,10
795,leading school digitally evaluation electronic school plan budget system erkas,4
798,learn navigate financial technology evidence payroll account,4
799,leave,5
800,leave perspective direction dfid multicadre conference,3
801,legislative framework cybercrime budapest convention asia,1
803,economy diagnostic english,4
804,lesson program implement mobile alliance maternal action program africa,3
805,real informal sector gig economy future africa,3
806,leverage financial solution promote formal business participation,4
807,leverage solution fight covid lesson asean,10
808,leverage ict technology close gender gap english,5
810,leverage phonebased mobile technology improve data quality health facility rural best practice,10
812,link open change education data generate idea,3
813,linkedinto job opportunity experimental evidence job readiness training,6
815,maintenance affordances structural inequality mobile phone lowincome woman kingdom,5
817,informal settlement visible datafication study quarry road west informal settlement durban africa,3
818,agricultural chain inclusive technology innovation,5
819,impact usindonesia investment,4
822,data poor,9
824,finance management system evolve cooperation,4
827,papertodigital shift,6
828,malala fund full force,5
831,malaysias economy driver,4
833,management record select financial service parastatals,4
836,manual production statistic economy,9
837,map data governance legal framework finding global data regulation diagnostic,1
839,map merchant mind analysis payment behavior store merchant jaipur,4
840,mcare health intervention package pregnancy surveillance careseeking reminder modelbased costeffectiveness analysis,6
841,measure evaluation phase midterm performance evaluation final,7
842,measure global broadband divide aggregate crowdsourced big data,7
844,medium literacy social connectedness citizenship map stakeholder parent young people navigate social,8
845,medium investment fund mdif medium advisory service mass series practical guide medium manager practitioner,5
846,medic mobile study unescopearson initiative literacy,8
847,mhealth data security privacy confidentiality,2
849,micromerchant ecosystems low income store,4
850,midline randomize controlled trial increase utilization financial service woman business owner rural paper,4
852,milk benefit payment journey simple solution,4
853,mindful save explore power saving woman,8
857,minimum data consumption support online affordable,5
858,mira channel study unescopearson initiative literacy,3
861,mobile learn highschool mathematics path sustainability fastchanging society exploratory study,7
862,mobile network operator partnership action health study mobile network operator ministry health engagement electronic immunization registry application,7
863,mobile phone access implication health intervention adolescent young adult crosssectional survey,7
864,mobile banking answer financial inclusion hilly rural,4
866,mobile banking innovative solution increase financial inclusion subsaharan african evidence,4
868,mobile commerce adoption bottom pyramid street vendor,4
869,mobile connectivity emerge economy,0
870,mobile health initiative,6
871,mobile health message service helpdesk african mother momconnect history success challenge,3
872,mobile health improve adherence tuberculosis treatment khartoum,6
874,mobile learn support deliver distance education perception student university coast,3
876,mobile learn system egyptian high education agilebased,6
878,mobile money adoption spend behaviour student,4
879,mobile money financial inclusion instrument determinant,4
881,mobile money financial inclusion payment,4
883,mobile payment privacy factor,4
885,mobile technology inclusion person disability,5
886,mobile wallet framework consumer adoption,4
887,mobile study english,10
888,rapid ecommerce review usaid structural reform program,5
889,moldova enable environment business economy,4
891,money mobile money ritual western contingency fund thirteenth cow,4
892,motivate adoption communityminded behavior empirical test,10
893,mobile phone life deconstruct maendeleo gender narrative marakwet,8
897,national cybersecurity strategy develop study proposal,1
898,agricultural lend final mission,4
900,nethope epayments toolkit,4
902,insight woman mobile phone ownership,5
904,power responsibility global survey journalism artificial intelligence,6
905,news organization build consensus social medium digitalnative la silla vaca,6
906,generation universal service ubiquitous broadband ecosystems asean uso,7
907,broken link vulnerability telecommunication infrastructure natural hazard english,7
909,nonbank emoney issuer payment bank compare,4
910,offgrid solar assessment cote divoire power africa offgrid,3
914,track health care patient data provider performance,3
915,online child sexual exploitation abuse diagnosis social norm theoryy,0
916,online child sexual exploitation optimal international response,0
917,online opportunity risk child adolescent role skill age gender parental mediation,0
918,open banking design financial inclusion,4
920,open data agriculture nutrition literature review propose conceptual framework,10
921,operability acceptability mobile app track routine immunization performance rural interview study vaccinator key informant,3
922,opportunity financial service cocoa chain cte divoire insight data,4
923,opportunity financial service cocoa chain cte divoire insight data english,4
924,optimal cyber threat intelligent system,1
925,outcome reminder text message intervention completion routine immunization rural,3
926,ownership mobile device adolescent,3
928,economic policy export competitiveness business trade assessment,7
930,financial consumer protection diagnostic english,4
931,parental mediation romandian young childrens practice,0
932,parent age challenge parental responsibility comparative perspective,0
933,participatory map toolkit guide refugee,7
934,pathway prosperity rural agricultural finance sector,4
935,patientcentered care transform health care system support health technology,7
937,pattern divide convergence access ict facility indian,7
938,pattern mobile phone ownership pregnant woman southern crosssectional survey,8
939,peer externalities technology adoption evidence reporting,6
940,perception corruption egovernment service postlaunch role demographic variable,10
941,perception drone adherence monitor technology educational videos tuberculosis control remote mixedmethod study protocol,3
942,perception acceptability intervention tuberculosis patient qualitative study videobased directly observe therapy,6
944,performance evaluation enterprise global competitiveness compete final evaluation,4
945,perspective supranational regulation develop,2
946,perspective teacher trainee preparedness adoption integration ict public teacher training college,11
947,perspective experience practice technology management depression alcohol disorder health care system,6
948,economy normal covid digitalize philippine economy english,4
950,phonebased technology agricultural delivery,7
954,pieri price barrier adoption usage mobile money evidence field experiment,4
956,potentiality challenge health psychiatry kashmir,6
957,practical lesson phonebased assessment learninglessons phonebased assessment learn,3
958,predict intention mobile banking,4
959,prepare public pedagogy ict pesticide popular education,11
963,preventin disruption deterrence online child sexual exploitation abuse,0
964,prevent child sexual abuse systematic review intervention efficacy develop,0
966,primary education stipends mother prefer payment cash,4
969,privacy perception locationbased service mobile device university coast,2
970,privatesector investment opportunity primary healthcare implementation roadmap,3
971,promote african multinationals inclusive postpandemic future,5
972,promote literacy skill student improved school curriculum,8
974,protect agricultural worker remote covid awareness campaign,6
975,reference service namibian study,6
977,free internet connectivity improve financial economic outcome,3
981,public financial management digitalization payment,4
983,public inclusion micro small enterprise,5
984,push level investigate creation,4
985,quantum technology transformation social impact crosssector disruption,1
986,rapid account open pandemic,4
987,realize potential digitization improve agrifood system propose international council food agriculture,9
