Title,Intervention Area
An Analysis of Mobile Financial Services and Financial Inclusion in Bangladesh,Digital Finance
An Applied Data Justice Framework: Analysing Datafication and Marginalised Communities in Cities of the Global South,Digital Inclusion
An Evaluation of the Impact of ICT on Nigeria Socio-Economic Growth and Development,Policy & Regulation or Digital Services
An Evaluation of the Impact of ICT on Nigeria Socio-Economic Growth and Development,Digital Infrastructure Development
"An ICT Integration in Higher Education Institutes of Pakistan: A Critical Literature Review, 2019",Digital Infrastructure Development
"An ICT Integration in Higher Education Institutes of Pakistan: A Critical Literature Review, 2019",Digital Inclusion
An innovative approach to manage cancer patient information for care coordination and monitoring using a digital health platform for a nonprofit tertiary cancer care institute in India.,Digital Information Services
An Investigation into the Challenges Preventing Students of Educational Administration and Planning from Using ICT for Learning in Nigeria Higher Institutions,Digital Infrastructure Development
An Investigation into the Challenges Preventing Students of Educational Administration and Planning from Using ICT for Learning in Nigeria Higher Institutions,Digital Inclusion
Analysis of Electronic Payment Systems in Ghana - A Case Study of Mobile Payment System,Digital Finance
Analysis of Electronic Payment Systems in Ghana - A Case Study of Mobile Payment System,Data Systems & Development
Analysis of the integration of ICT in Second Language Learning in Preschool in Colombia,Digital Information Services
"Apart but Connected: Online Tutoring and Student Outcomes during the COVID-19 Pandemic, 2021",Upskilling/ Capacity Building
Application of digital technologies in health insurance for social good of bottom of pyramid customers in India,Policy & Regulation or Digital Services
Application of digital technologies in health insurance for social good of bottom of pyramid customers in India,Digital Inclusion
Applying Digital Storytelling to Improve Indonesian High School Students' Visual Memory and Writing Skill,Digital Literacy
Applying Digital Storytelling to Improve Indonesian High School Students' Visual Memory and Writing Skill,Upskilling/ Capacity Building
Approaches Of Increasing Financial Literacy Of The Population During The Economic Digitalization In Uzbekistan,Digital Finance
Approaches Of Increasing Financial Literacy Of The Population During The Economic Digitalization In Uzbekistan,Digital Literacy
Are Mobile Savings the Silver Bullet to Help Women Grow Their Businesses?,Digital Finance
Are Mobile Savings the Silver Bullet to Help Women Grow Their Businesses?,Digital Finance
Are Mobile Savings the Silver Bullet to Help Women Grow Their Businesses?,Digital Literacy
Are Mobile Savings the Silver Bullet to Help Women Grow Their Businesses?,Digital Literacy
Artificial Intelligence and Healthcare in Emerging Markets,E-government
"Artificial Intelligence in the Public Sector : Maximizing Opportunities, Managing Risks",E-government
"Artificial intelligence versus COVID-19 in developing countries, 2020",Data Systems & Development
"Assessing the Effectiveness of a Web-Based Vaccine Information Management System on Immunization-Related Data Functions, 2018",Data Systems & Development
Assessment of Digital Implementation in India and Challenges,E-government
"Assessment of Select Electronic Health Information Systems that Support Immunization Data Capture - Kenya, 2017, 2018",Data Systems & Development
Associations between child mobile use and digital parenting style in Hungarian families,Child Protection
"Automated Phone Call and Text Reminders for Childhood Immunisations (PRIMM): A Randomised Controlled Trial in Nigeria, 2019",Data Systems & Development
Automation and AI: Implications for African Development Prospects?,Policy & Regulation or Digital Services
Automation in Latin America: Are Women at Higher Risk of Losing Their Jobs?,Policy & Regulation or Digital Services
Automation in Latin America: Are Women at Higher Risk of Losing Their Jobs?,Policy & Regulation or Digital Services
Automation in Latin America: Are Women at Higher Risk of Losing Their Jobs?,Digital Inclusion
Automation in Latin America: Are Women at Higher Risk of Losing Their Jobs?,Digital Inclusion
AVARCIBER: a framework for assessing cybersecurity risks,Cybersecurity
"Awareness of, Demand for, and Satisfaction with the West Africa Health Informatics Team (WAHIT) Report, 2020",Data Systems & Development
AYITIC Goes Global,Data Systems & Development
AYITIC Goes Global,Data Systems & Development
Balancing Act: Countering Digital Disinformation While Respecting Freedom of Expression,E-government
Barriers and Incentives to Cybersecurity Threat Information Sharing in Developing Countries: A Case Study of Saudi Arabia,Cybersecurity
"Barriers to Digital Services Adoption in Bangladesh, 2019",Digital Infrastructure Development
"Barriers to Digital Services Adoption in Bangladesh, 2019",Digital Inclusion
Basic Regulatory Enablers for Digital Financial Services,Digital Finance
Benefiting from the Digital Economy : Cambodia Policy Note (English),E-government
Benefiting from the Digital Economy : Cambodia Policy Note (English),Digital Finance
Benefiting from the Digital Economy : Cambodia Policy Note (English),Cybersecurity
Best Practice in the Management of Online Sex Offending,Child Protection
Best Practice in the Management of Online Sex Offending,Child Protection
"Big Data and Urban Transportation in India: A Bengaluru Bus Corporation Case Study, 2018",Data Systems & Development
"Big Data and Urban Transportation in India: A Bengaluru Bus Corporation Case Study, 2018",Data Systems & Development
"Big Data, Not Big Brother: New Data Protection Laws and the Implications for Independent Media Around the World",Data Privacy
"Big Data, Not Big Brother: New Data Protection Laws and the Implications for Independent Media around the World",Cybersecurity
"Blended Learning Using Peer Mentoring and WhatsApp for Building Capacity of Health Workers for Strengthening Immunization Services in Kenya, 2021",Upskilling/ Capacity Building
Blockchain and Emerging Digital Technologies for Enhancing Post-2020 Climate Markets,Digital Finance
"Blockchain and Land Administration, 2018",Data Systems & Development
"Blockchain for Development: Emerging Opportunities for Mobile, Identity and Aid",E-government
"Blockchain for Development: Emerging Opportunities for Mobile, Identity and Aid",Digital Finance
Bottom-up accountability and public service provision: Evidence from a field experiment in Brazil,E-government
"Bottom-up Connectivity Strategies: Community-led Small-scale Telecommunication Infrastructure Networks in the Global South, 2019",Digital Infrastructure Development
"Bottom-up Connectivity Strategies: Community-led Small-scale Telecommunication Infrastructure Networks in the Global South, 2019",Digital Inclusion
"Bridging Indonesia's Digital Divide: Rural-Urban Linkages?, 2018",Digital Infrastructure Development
"Bridging Indonesia's Digital Divide: Rural-Urban Linkages?, 2018",Digital Inclusion
Brief 49: Information Technology and Political Engagement in Uganda,E-government
Brief 51: Does Information Technology Improve Public Service Delivery?,Policy & Regulation or Digital Services
Brief 51: Does Information Technology Improve Public Service Delivery?,E-government
Brief 51: Does Information Technology Improve Public Service Delivery?,Digital Information Services
Building cyber security awareness in a developing country: Lessons from Myanmar,Digital Literacy
Building cyber security awareness in a developing country: Lessons from Myanmar,Cybersecurity
Building cyber security awareness in a developing country: Lessons from Myanmar,Upskilling/ Capacity Building
"Building Digital Competencies to Benefit From Frontier Technologies, 2019",Upskilling/ Capacity Building
"Building Faster Better: A Guide to Inclusive Instant Payment Systems, 2021",Digital Inclusion
Building hooks and ladders : a case for integrating digital payments and lending to small merchants,Digital Finance
Building Inclusive Payment Ecosystems in Tanzania and Ghana,Digital Finance
Building Inclusive Payment Ecosystems in Tanzania and Ghana,Digital Inclusion
Building on Digital ID for Inclusive Services: Lessons from India,E-government
Building on Digital ID for Inclusive Services: Lessons from India,Digital Inclusion
Burundi Digital Economy Assessment (English),Digital Infrastructure Development
Burundi Digital Economy Assessment (English),Digital Finance
Can Virtual Replace In-person Coaching? Experimental Evidence on Teacher Professional Development and Student Learning in South Africa,E-government
"Can Big Data Be Used for Evaluation? A UN Women Feasibility Study, 2018",Data Systems & Development
Can online social interaction improve the digital finance participation of rural households?,Digital Finance
Capturing Gender and Class Inequities: The CCTVisation of Delhi,E-government
Capturing Gender and Class Inequities: The CCTVisation of Delhi,Policy & Regulation or Digital Services
Cashing In (and Out): Experimental Evidence on the Effects of Mobile Money in Malawi,Digital Finance
Catalyst's Incubator Program (Technical Report),Digital Finance
Catalyst's Incubator Program (Technical Report),Digital Infrastructure Development
Chatbots for Third-Party Monitoring : CivicTech Pilot in Madagascar (English),E-government
Child Sexual Exploiatation and Abuse Online: Survivors' Perspectives in Colombia,Child Protection
"Children are future leaders of the country: Ethiopian adolescents, access to voice and agency",Child Protection
"Children are future leaders of the country: Ethiopian adolescents, access to voice and agency",Digital Inclusion
Children's Rights in the Digital Environment,Child Protection
Children's Rights in the Digital Environment,Child Protection
"Citizen Journalism Guidelines on Electoral Reporting in Zimbabwe, 2018",Digital Literacy
Citizen participation in the design of public policy through ICTs in Colombia,E-government
Citizens and States: How Can Digital ID and Payments Improve State Capacity and Effectiveness?,E-government
Citizens and States: How Can Digital ID and Payments Improve State Capacity and Effectiveness?,E-government
Citizens and States: How Can Digital ID and Payments Improve State Capacity and Effectiveness?,Digital Finance
Citizens and States: How Can Digital ID and Payments Improve State Capacity and Effectiveness?,Digital Finance
Civil Documentation for Internally Displaces Persons (IDPs) in Protracted Displacement,E-government
Cloud Computing: Opportunities and Challenges for Sustainable Economic Development in Latin America and the Caribbean,Policy & Regulation or Digital Services
"Comment on Apiors, E.K.; Suzuki, A. Mobile Money, Individuals’ Payments, Remittances, and Investments: Evidence from the Ashanti Region, Ghana. Sustainability 2018, 10, 1409",Digital Finance
"Community monitoring of socio-environmental liabilities with advanced technologies: Evidence from a randomized control trial in the Ecuadorian and Peruvian Amazon, 2019",Digital Inclusion
"Community monitoring of socio-environmental liabilities with advanced technologies: Evidence from a randomized control trial in the Ecuadorian and Peruvian Amazon, 2019",Digital Inclusion
"Community monitoring of socio-environmental liabilities with advanced technologies: Evidence from a randomized control trial in the Ecuadorian and Peruvian Amazon, 2019",Upskilling/ Capacity Building
"Community monitoring of socio-environmental liabilities with advanced technologies: Evidence from a randomized control trial in the Ecuadorian and Peruvian Amazon, 2019",Upskilling/ Capacity Building
"Community-Based Data Justice: A Model for Data Collection in Informal Urban Settlements, 2019",Digital Inclusion
"Comparing The Effect Of E-Learning And Educational Booklet On The Childbirth Self-Efficacy: A Randomized Controlled Clinical Trial, 2018",Digital Inclusion
"Comparing The Effect Of E-Learning And Educational Booklet On The Childbirth Self-Efficacy: A Randomized Controlled Clinical Trial, 2018",Digital Inclusion
Competing in the Digital Age : Policy Implications for the Russian Federation,Policy & Regulation or Digital Services
COMPETITION IN NETWORK INDUSTRIES: EVIDENCE FROM THE RWANDAN MOBILE PHONE NETWORK,Digital Infrastructure Development
COMPETITION IN NETWORK INDUSTRIES: EVIDENCE FROM THE RWANDAN MOBILE PHONE NETWORK,Policy & Regulation or Digital Services
Conecta Ideas (Connect Ideas),Digital Literacy
Considerations for Design and Production of Digital Books for Early Literacy in Ethiopia,Digital Literacy
Considerations for Design and Production of Digital Books for Early Literacy in Ethiopia,Upskilling/ Capacity Building
Consumer attitude and intention to adopt mobile wallet in India- An empirical study,Digital Finance
Continuous Emissions Monitoring Systems (CEMS) in India,E-government
Control of fraud on mobile money services in Ghana: an exploratory study,Digital Finance
"Cost analysis of integrated community case management of childhood malaria, diarrhea and pneumonia enhanced by mobile health technology in rural Zambia, 2019",Digital Infrastructure Development
Costing Analysis of a Pilot Community Health Worker Program in Rural Nepal,E-government
Cote d'Ivoire – Evaluating Digital Payment Systems for Expanding Social Protection Coverage,Digital Finance
Cote d'Ivoire – Evaluating Digital Payment Systems for Expanding Social Protection Coverage (English),Digital Finance
Cote d'Ivoire – Evaluating Digital Payment Systems for Expanding Social Protection Coverage (English),Digital Inclusion
Cote d'Ivoire – Evaluating Digital Payment Systems for Expanding Social Protection Coverage (English),Digital Inclusion
Country Diagnostic of Senegal (English),Digital Finance
COVID-19 Mobile Positioning Data Contact Tracing and Patient Privacy Regulations: Exploratory Search of Global Response Strategies and the Use of Digital Tools in Nigeria,Digital Infrastructure Development
COVID-19 Mobile Positioning Data Contact Tracing and Patient Privacy Regulations: Exploratory Search of Global Response Strategies and the Use of Digital Tools in Nigeria,Data Systems & Development
COVID-19 and Digital payments,Digital Finance
COVID-19 and E-commerce,Digital Finance
COVID-19 and e-commerce: a global review,Policy & Regulation or Digital Services
COVID-19 and e-commerce: a global review,Digital Finance
COVID-19 and Its Implications for Protecting Children Online,Child Protection
"COVID-19 Digital Emergency Relief Programme (C-DERP), 2020",Digital Inclusion
COVID-19 Mobile Positioning Data Contact Tracing and Patient Privacy Regulations: Exploratory Search of Global Response Strategies and the Use of Digital Tools in Nigeria,Policy & Regulation or Digital Services
COVID-19 Mobile Positioning Data Contact Tracing and Patient Privacy Regulations: Exploratory Search of Global Response Strategies and the Use of Digital Tools in Nigeria,Data Privacy
COVID-19 Pandemic and Higher Education: Leveraging on Digital Technologies and Mobile Applications for Online Learning in Ghana,Digital Literacy
COVID-19 Pandemic and Higher Education: Leveraging on Digital Technologies and Mobile Applications for Online Learning in Ghana,Data Systems & Development
COVID-19: Digital and Remote Approaches in Eliminating Female Genital Mutilation and Child Marriage,E-government
COVID-19: Digital and Remote Approaches in Eliminating Female Genital Mutilation and Child Marriage,Child Protection
Creating (Digital) Labor Markets in Rural Tanzania,Digital Information Services
Creating Disability Inclusive ID System,E-government
Creating Disability Inclusive ID System,Digital Inclusion
"Creating Mobile Health Solutions for Behaviour Change: A Study of Eight Services in the mNutrition Initiative Portfolio, 2018",Data Systems & Development
Credit as a Hook: Building Digital Footprints for Credit Access,Digital Finance
Criminal Law Policy in Handling Digital Asset-Based Money Laundering in Indonesia,Cybersecurity
Criminal Law Policy in Handling Digital Asset-Based Money Laundering in Indonesia,Policy & Regulation or Digital Services
"Crop Specific Mobile Apps by UNESCO-Pearson Initiative for Literacy, 2018",Upskilling/ Capacity Building
"Crowdfunding in the Middle East and North Africa Region, 2019",Digital Inclusion
Crowdsourcing accountability: ICT for service delivery,E-government
Cryptocurrency: A Comparative Study of Top Five Digital Currencies in India,Digital Finance
Customers' Perceived Risk and Trust in Using Mobile Money Services - an Empirical Study of Ghana,Digital Finance
"Cyber Crime, Cyber Threat, Cyber Security Strategies and Cyber Law in Nepal",Cybersecurity
"Cyber Crime, Cyber Threat, Cyber Security Strategies and Cyber Law in Nepal",E-government
Cyber Resilience of Autonomous Mobility Systems : Cyber Attacks and Resilience-Enhancing Strategies,Digital Infrastructure Development
Cyber Resilience of Autonomous Mobility Systems : Cyber Attacks and Resilience-Enhancing Strategies,Cybersecurity
"Cyber security education is as essential as ""the three R's""",Cybersecurity
"Cyber security education is as essential as ""the three R's""",Digital Inclusion
"Cyber security education is as essential as ""the three R's""Digital Literacy With EFL Student Teachers: Exploring Indonesian Student Teachers' Initial Perception About Integrating Digital Technologies Into a Teaching Unit",Digital Literacy
Cyber Threat Landscape and Readiness Challenge of Pakistan,Cybersecurity
Cyber Threat Landscape and Readiness Challenge of Pakistan,E-government
Cyberattacks on the Smart Power Grid,Cybersecurity
"Cyberbullying AMong School Adolescents iin an Urban SEtting of a Developing Country: Experience, Coping Strategies and Mediating Effects of Different Support on Psychological Well-Being",Child Protection
Cybercrime and Cybersecurity in Africa,Cybersecurity
Cybercrime Business Digital in Indonesia,Cybersecurity
Cybercrime Business Digital in Indonesia,Digital Infrastructure Development
"Cyberebullying in Developing Countries: Uncovering the Profiles of the Agressors, Vicitms, Manifestations and Dynamics",Child Protection
Cyberesecurity Policy in Nigeria: A Tool for National Security and Advancement,Cybersecurity
Cyberesecurity Policy in Nigeria: A Tool for National Security and Advancement,Cybersecurity
Cybersecurity and Distributed Energy Resources,Cybersecurity
Cybersecurity for Mobile Financial Services,Cybersecurity
Cybersecurity for Mobile Financial Services,Digital Finance
"Cyberwomen: Holistic Digital Security Training Curriculum for Women Human Rights Defenders, 2018",Digital Literacy
Data and Policy Decisions: Experimental Evidence from Pakistan,Digital Information Services
Data and Policy Decisions: Experimental Evidence from Pakistan,E-government
Data for Decision Making: Using a Dashboard to Strengthen Routine Immunisation in Nigeria,E-government
Data for Decision Making: Using a Dashboard to Strengthen Routine Immunisation in Nigeria,Data Systems & Development
"Data Gathering and Justice in the Urban Informal Sector: Views from the Frontline, 2019",Digital Inclusion
Data Justice through the Prism of Information Politics and Resource Injustice: A Case Study from Hyderabad’s Urban Frontier,Digital Information Services
Data Justice through the Prism of Information Politics and Resource Injustice: A Case Study from Hyderabad’s Urban Frontier,Digital Inclusion
Data Privacy and Confidentiality from the Perspectives of General Public and Health Care Provers in Jordan,Data Privacy
Data Privacy and Protection: The Role of Regulation and Implications for Data Controllers in Developing Countries,Data Privacy
Data Protection and Privacy of the Internet of Healthcare Things (IoHTs),Data Privacy
Data Protection Challenges in the Internet of Things Era: An Assessment of Protection Offered by PDPA 2010,Data Privacy
"Data, global development, and COVID-19, 2020",Data Systems & Development
"Data-Driven Segmentation in Financial Inclusion, 2019",Data Systems & Development
"Data-Driven Segmentation in Financial Inclusion, 2019",Digital Inclusion
Democratic Countries Should Form a Strategic Tech Alliance,E-government
Deposit Insurance Treatment of E-Money: An Analysis of Policy Choices,Digital Finance
"Design and implementation of a mobile health electronic data capture platform that functions in fully-disconnected settings: a pilot study in rural Liberia, 2020",Data Systems & Development
"Design and deployment of relational geodatabase on mobile GIS platform for real-time COVID-19 contact tracing in Ghana, 2021",Data Systems & Development
"Design and deployment of relational geodatabase on mobile GIS platform for real-time COVID-19 contact tracing in Ghana, 2021",Digital Inclusion
"Design and implementation of a mobile health electronic data capture platform that functions in fully-disconnected settings: a pilot study in rural Liberia, 2020",Digital Inclusion
"Designing Data Initiatives to Advance Financial Inclusion, 2020",Digital Infrastructure Development
"Designing Data Initiatives to Advance Financial Inclusion, 2020",Digital Inclusion
"Determinants of individuals' intention to use mobile health: insights from India, 2019",Digital Inclusion
Determinants of Mobile Money Adoption: Evidence from Urban Philippines,Digital Finance
Determinants of Mobile Money Adoption: Evidence from Urban Philippines,Digital Inclusion
"Determinants of Scale-up From a Small Pilot to a National Electronic Immunization Registry in Vietnam: Qualitative Evaluation, 2020",Data Systems & Development
"Determinants of Scale-up From a Small Pilot to a National Electronic Immunization Registry in Vietnam: Qualitative Evaluation, 2020",Upskilling/ Capacity Building
"Determining PMI's Optimal Investment in Health Management Information Systems (HMIS) Strengthening in Uganda: A Landscape Analysis, 2019",Data Systems & Development
Determining the factors influencing the level of awareness and usage of open source digital repository software by academic librarians in India,Digital Information Services
Development of a Mobile Game to Influence Behavior Determinants of HIV Service Uptake Among Key Populations in the Philippines: User-Centered Design Process,Digital Information Services
"Development of a Mobile, Self-Sovereign Identity Approach for Facility Birth Registration in Kenya, 2021",Digital Infrastructure Development
"Development of a novel mobile application, HBB Prompt, with human factors and user-centred design for Helping Babies Breathe skills retention in Uganda, 2021",Upskilling/ Capacity Building
Developmental evaluation pilot sustained uptake : final report,Policy & Regulation or Digital Services
DFS landscape in Nigeria : enabling market conditions for pay-as- you-go (PAYG) solar companies : leadership in public financial management II (LPFM II),Digital Finance
DFS landscape in Nigeria : enabling market conditions for pay-as- you-go (PAYG) solar companies : leadership in public financial management II (LPFM II),Digital Finance
"Digital connectivity at the upstream end of value chains: A dynamic perspective on smartphone adoption amongst horticultural smallholders in Kenya, 2020",Digital Infrastructure Development
"Digital Governance in Developing Countries: Beneficiary Experience and Perceptions of System Reform in Rajasthan, India - Working Paper 489",E-government
Digital Literacy With EFL Student Teachers: Exploring Indonesian Student Teachers' Initial Perception About Integrating Digital Technologies Into a Teaching Unit,Digital Literacy
"Digital Solutions for COVID-19 Response: An Assessment of Digital Tools for Rapid Scale-up for Case Management and Contact Tracing, 2020",Data Systems & Development
Digital Transformation of University Education in Ukraine: Trajectories of Development in the Conditions of New Technological and Economic Order,E-government
"Digital Activism and Indignation Nets in Brazil: The Pressure Groups, 2019",Upskilling/ Capacity Building
"Digital and Economic Determinants of Healthcare in the Crisis-Affected Population in Afghanistan: Access to Mobile Phone and Socioeconomic Barriers, 2021",Digital Inclusion
"Digital and Social Media for Social and Behaviour Change Communication, 2019",Digital Inclusion
"Digital Antianxiety Treatment and Cognitive Performance: an Experimental Study, 2021",Upskilling/ Capacity Building
"Digital Banking Strategy and Financial Inclusion among Commercial Banks in Kajiado County. A Case of Kenya Commercial Bank in Kajiado County, Kenya",Digital Finance
"Digital Banking Strategy and Financial Inclusion among Commercial Banks in Kajiado County. A Case of Kenya Commercial Bank in Kajiado County, Kenya",Digital Inclusion
Digital Banks: Lessons from Korea,Digital Finance
"Digital Cash Transfers for Stranded Migrants: Lessons from Bihar’s COVID-19 Assistance Program, 2020",Data Systems & Development
"Digital Cash Transfers in Times of COVID-19: Opportunities and Considerations for Women's Inclusion and Empowerment, 2020",Digital Inclusion
